word|origins|part_of_speech|pronunciation|meaning
futility|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/futility_us_3.mp3|pointlessness or uselessness
tachycardia|late 19th century: from tachy- ‘swift’ + Greek kardia ‘heart’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/tachycardia--_gb_1.8.mp3|an abnormally rapid heart rate.
pomposity|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/pomposity_us_1.mp3|the quality of being pompous; self-importance
crepuscular|mid 17th century: from Latin crepusculum ‘twilight’ + -ar1.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/crepuscular--_gb_1.8.mp3|resembling or relating to twilight.
osprey|late Middle English: from Old French ospres, apparently based on Latin ossifraga (mentioned by Pliny and identified with the lammergeier), from os ‘bone’ + frangere ‘to break’, probably because of the lammergeier's habit of dropping bones from a height to break them and reach the marrow.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/osprey--_gb_1.8.mp3|a large fish-eating bird of prey with long, narrow wings and a white underside and crown, found throughout the world.
fans|Old English fann (as a noun denoting a device for winnowing grain), fannian (verb), from Latin vannus ‘winnowing fan’. Compare with vane.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/fan--_gb_1.mp3|an apparatus with rotating blades that creates a current of air for cooling or ventilation.;a handheld device, typically folding and shaped like a segment of a circle when spread out, that is waved so as to cool the person holding it.
isotopic|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/isotopic_us_1.mp3|relating to an isotope or isotopes of an element
militant|late Middle English (in the sense ‘engaged in warfare’): from Old French, or from Latin militant- ‘serving as a soldier’, from the verb militare (see militate). The current sense dates from the early 20th century.|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/militant--_gb_1.mp3|favouring confrontational or violent methods in support of a political or social cause.
quadrilateral|mid 17th century: from late Latin quadrilaterus (from Latin quadri- ‘four’ + latus, later- ‘side’) + -al.|noun;adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/quadrilateral--_gb_1.mp3|a four-sided figure.
coralline|mid 16th century: the noun from Italian corallina, diminutive of corallo ‘coral’, the adjective (mid 17th century) from French corallin or late Latin corallinus, both based on Latin corallum ‘coral’.|noun;adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/coralline--_gb_2.mp3|a branching reddish seaweed with a calcareous jointed stem.
realia|1950s: from late Latin, neuter plural (used as a noun) of realis ‘relating to things’ (see real1).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/realia--_gb_1.mp3|objects and material from everyday life used as teaching aids.
sturdy|Middle English (in the senses ‘reckless, violent’ and ‘intractable, obstinate’): shortening of Old French esturdi ‘stunned, dazed’. The derivation remains obscure; thought by some to be based on Latin turdus ‘a thrush’ (compare with the French phrase soûl comme une grive ‘drunk as a thrush’).|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/sturdy--_gb_1.mp3|(of a person or their body) strongly and solidly built.
dysrhythmia|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/dysrhythmia_us_1.mp3|abnormality in a physiological rhythm, especially in the activity of the brain or heart
rocaille|French, from roc ‘rock’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/rocaille--_gb_2.mp3|an 18th-century artistic or architectural style of decoration characterized by elaborate ornamentation with pebbles and shells, typical of grottos and fountains.;a tiny ornamental bead.
erase|late 16th century (originally as a heraldic term meaning ‘represent the head or limb of an animal with a jagged edge’): from Latin eras- ‘scraped away’, from the verb eradere, from e- (variant of ex- ) ‘out’ + radere ‘scrape’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/erase--_gb_1.mp3|rub out or remove (writing or marks).
escarole|early 20th century: from French, from Italian scar(i)ola, based on Latin esca ‘food’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/escarole--_gb_1.mp3|an endive of a variety with broad undivided leaves and a slightly bitter flavour, used in salads.
podium|mid 18th century: via Latin from Greek podion, diminutive of pous, pod- ‘foot’.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/_podium--1_gb_1.mp3|a small platform on which a person may stand to be seen by an audience, as when making a speech or conducting an orchestra.
bugaboo|mid 18th century: probably of Celtic origin and related to Welsh bwci bo ‘bogey, the Devil’, bwci ‘hobgoblin’ and Cornish bucca .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/bugaboo--_gb_1.mp3|an object of fear or alarm; a bogey.
dissipate|late Middle English: from Latin dissipat- ‘scattered’, from the verb dissipare, from dis- ‘apart, widely’ + supare ‘to throw’.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/dissipate--_gb_1.mp3|(with reference to a feeling or emotion) disappear or cause to disappear.;waste or fritter away (money, energy, or resources).
mascarpone|from Italian.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/mascarpone--_gb_1.mp3|a soft, mild Italian cream cheese.
colcannon|late 18th century: from cole; the origin of the second element is uncertain but it is said that cannonballs were used to mash such vegetables as spinach.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/colcannon--_gb_1.mp3|an Irish and Scottish dish of cabbage and potatoes boiled and mashed together.
mislead|Etymology Unknown|verb|https://audio.oxforddictionaries.com/en/mp3/mislead_us_1.mp3|cause (someone) to have a wrong idea or impression about someone or something
trepidation|late 15th century: from Latin trepidatio(n- ), from trepidare ‘be agitated, tremble’, from trepidus ‘alarmed’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/trepidation--_gb_1.mp3|a feeling of fear or anxiety about something that may happen.;trembling movements or motion.
floribunda|late 19th century: modern Latin, feminine (used as a noun) of floribundus ‘freely flowering’, from Latin flos, flor- ‘flower’, influenced by Latin abundus ‘copious’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/floribunda--_gb_1.mp3|a plant, especially a rose, which bears dense clusters of flowers.
Plantagenet|from Latin planta genista ‘sprig of broom’, said to be worn as a crest by and given as a nickname to Geoffrey, count of Anjou, the father of Henry II.|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/plantagenet--1_gb_1.8.mp3|relating to the English royal dynasty which held the throne from the accession of Henry II in 1154 until the death of Richard III in 1485.
unscathed|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/unscathed_us_1.mp3|without suffering any injury, damage, or harm
chef|early 19th century: French, literally ‘head’.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/chef--_gb_1.mp3|a professional cook, typically the chief cook in a restaurant or hotel.
honourific|Unknown|adjective|/home/pi/honourific.mp3|conferring or conveying honor
Charon|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/charon_1_us_1.mp3|the largest satellite of Pluto, discovered in 1978. Its diameter of 789 miles (1,270 km) is more than half that of Pluto.;an old man who ferried the souls of the dead across the Styx and Acheron Rivers to Hades.
euro|mid 19th century: from Adnyamathanha yuru;Etymology Unknown|adjective;noun|https://audio.oxforddictionaries.com/en/mp3/euro_1_us_2_rr.mp3;https://audio.oxforddictionaries.com/en/mp3/euro_us_2.mp3|the common wallaroo.;the single European currency, which replaced the national currencies of France, Germany, Spain, Italy, Greece, Portugal, Luxembourg, Austria, Finland, the Republic of Ireland, Belgium, and the Netherlands in 2002. Nineteen member states of the European Union now use the euro.;European, especially concerned with the European Union
pauper|late 15th century: from Latin, literally ‘poor’. The word's use in English originated in the Latin legal phrase in forma pauperis, literally ‘in the form of a poor person’ (allowing non-payment of costs).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/pauper--_gb_1.mp3|a very poor person.
dolce|Italian, literally ‘sweet’.|adverb;adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/dolce--_gb_1.mp3|(especially as a direction) sweetly and softly.
balata|early 17th century: from Carib balatá .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/balata--_gb_1.8.mp3|a tropical American tree which bears edible fruit and produces latex.
joyful|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/joyful_us_1.mp3|feeling, expressing, or causing great pleasure and happiness
abstruse|late 16th century: from Latin abstrusus ‘put away, hidden’, from abstrudere ‘conceal’, from ab- ‘from’ + trudere ‘to push’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/abstruse--_gb_1.mp3|difficult to understand; obscure.
vicissitudes|early 17th century (in the sense ‘alternation’): from French, or from Latin vicissitudo, from vicissim ‘by turns’, from vic- ‘turn, change’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/vicissitude--_gb_1.mp3|a change of circumstances or fortune, typically one that is unwelcome or unpleasant.;alternation between opposite or contrasting things.
valourous|Unknown|adjective|/home/pi/valourous.mp3|possessing or exhibiting valor; brave; courageous
diacritic|late 17th century: from Greek diakritikos, from diakrinein ‘distinguish’, from dia- ‘through’ + krinein ‘to separate’.|noun;adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/diacritic--_gb_1.mp3|a sign, such as an accent or cedilla, which when written above or below a letter indicates a difference in pronunciation from the same letter when unmarked or differently marked.
jumbo|early 19th century (originally of a person): probably the second element of mumbo jumbo. Originally denoting a large and clumsy person, the term was popularized as the name of an elephant at London Zoo, sold in 1882 to the Barnum and Bailey circus.|noun;adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/jumbo--_gb_1.mp3|a very large person or thing.
gesture|late Middle English: from medieval Latin gestura, from Latin gerere ‘bear, wield, perform’. The original sense was ‘bearing, deportment’, hence ‘the use of posture and bodily movements for effect in oratory’.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/gesture--_gb_1.mp3|a movement of part of the body, especially a hand or the head, to express an idea or meaning.
nocive|mid 16th century. From classical Latin nocīvus harmful from nocēre to hurt, injure + -īvus|adjective|/home/pi/nocive.mp3|Harmful, injurious.
callow|Old English calu  ‘bald’, of West Germanic origin, probably from Latin calvus ‘bald’. This was extended to mean ‘unfledged’, which led to the present sense ‘immature’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/callow--_gb_1.mp3|(of a young person) inexperienced and immature.
bookworm|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/bookworm_us_1.mp3|a person devoted to reading.;the larva of a wood-boring beetle that feeds on the paper and glue in books.
dream|Middle English: of Germanic origin, related to Dutch droom and German Traum, and probably also to Old English drēam ‘joy, music’.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/dream--_gb_1.mp3|a series of thoughts, images, and sensations occurring in a person's mind during sleep.;a cherished aspiration, ambition, or ideal.
quattrocento|Italian, literally ‘400’ (shortened from milquattrocento ‘1400’), used with reference to the years 1400–99.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/quattrocento--_gb_2.mp3|the 15th century as a period of Italian art or architecture.
garlic|Old English gārlēac, from gār  ‘spear’ (because the shape of a clove resembles the head of a spear) + lēac ‘leek’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/garlic--_gb_1.mp3|a strong-smelling pungent-tasting bulb, used as a flavouring in cooking and in herbal medicine.;the central Asian plant, closely related to the onion, which produces garlic.
vincible|mid 16th century: from Latin vincibilis, from vincere ‘to overcome’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/vincible--_gb_1.mp3|(of an opponent or obstacle) able to be overcome or conquered.
fraught|late Middle English, ‘laden, equipped’, past participle of obsolete fraught  ‘load with cargo’, from Middle Dutch vrachten, from vracht ‘ship's cargo’. Compare with freight.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/fraught--_gb_1.mp3|(of a situation or course of action) filled with or likely to result in (something undesirable).;causing or affected by anxiety or stress.
hepatectomy|Unknown|noun|/home/pi/hepatectomy.mp3|excision of the liver or of a part of the liver
frivolous|late Middle English: from Latin frivolus ‘silly, trifling’ + -ous.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/frivolous--_gb_1.mp3|not having any serious purpose or value.
burgoo|from Arabic burġul (see burghul).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/burgoo--_gb_1.mp3|a stew or thick soup, typically one served at an outdoor meal.;a thick porridge.
decennial|mid 17th century: from Latin decennium ‘a decade’, from decennis ‘of ten years’ (from decem ‘ten’ + annus ‘year’), + -al.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/decennial--_gb_1.mp3|recurring every ten years.
sculpture|late Middle English: from Latin sculptura, from sculpere ‘carve’.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/sculpture--_gb_1.mp3|the art of making two- or three-dimensional representative or abstract forms, especially by carving stone or wood or by casting metal or plaster.
zebra|early 17th century: from Italian, Spanish, or Portuguese, originally in the sense ‘wild ass’, perhaps ultimately from Latin equiferus, from equus ‘horse’ + ferus ‘wild’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/zebra--_gb_1.mp3|an African wild horse with black-and-white stripes and an erect mane.;a large butterfly with pale stripes on a dark background.;a silvery-gold sea bream with vertical black stripes.
Yorkshire|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/yorkshire_1_us_2.mp3|a county in northern England, traditionally divided into East, West, and North Ridings.
presentient|early 19th century: from Latin praesentient- ‘perceiving beforehand’, from the verb praesentire, from prae ‘before’ + sentire ‘to feel’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/presentient--_gb_1.8.mp3|having a presentiment.
comedienne|mid 19th century: from French comédienne, feminine of comédien (see comedian).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/comedienne--_gb_2.mp3|a female comedian.
perilous|Middle English: from Old French perillous, from Latin periculosus, from periculum ‘danger’ (see peril).|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/perilous--_gb_1.8.mp3|full of danger or risk.
allonym|mid 19th century. From allo- + -onym, probably after French allonyme|noun|/home/pi/allonym.mp3|The name of another person which has been assumed by the actual author of a work; (more generally) any name assumed by someone; a pseudonym, an alias. Also (occasionally): a book purporting to be by someone other than its actual author.
huerta|Unknown|noun|/home/pi/huerta.mp3|áa piece of highly cultivated land (as for an orchard) in Spain
quotidian|Middle English: via Old French from Latin quotidianus, earlier cotidianus, from cotidie ‘daily’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/quotidian--_gb_1.mp3|of or occurring every day; daily.;denoting the malignant form of malaria.
bowsprit|Middle English: from Middle Low German bōgsprēt, Middle Dutch boechspriet, from boech ‘bow’ + spriet ‘sprit’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/bowsprit--_gb_1.mp3|a spar running out from a ship's bow, to which the forestays are fastened.
deciduous|late 17th century: from Latin deciduus (from decidere ‘fall down or off’) + -ous.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/deciduous--_gb_1.8.mp3|(of a tree or shrub) shedding its leaves annually.
assure|late Middle English: from Old French assurer, based on Latin ad- ‘to’ (expressing change) + securus (see secure).|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/assure--_gb_1.mp3|tell someone something positively to dispel any doubts.;make (something) certain to happen.;cover (a life) by assurance.
cistern|Middle English: from Old French cisterne, from Latin cisterna, from cista ‘box’ (see cist).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/cistern--_gb_1.mp3|a tank for storing water, especially one supplying taps or as part of a flushing toilet.
osmosis|mid 19th century: Latinized form of earlier osmose, from Greek ōsmos ‘a push’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/osmosis--_gb_1.mp3|a process by which molecules of a solvent tend to pass through a semipermeable membrane from a less concentrated solution into a more concentrated one.;the process of gradual or unconscious assimilation of ideas, knowledge, etc.
chupacabra|Spanish, literally ‘goatsucker’, from chupar ‘to suck’ + cabra ‘goat’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/chupacabra--_gb_1.mp3|an animal said to exist in parts of Latin America, where it supposedly attacks animals, especially goats.
culinary|mid 17th century: from Latin culinarius, from culina ‘kitchen’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/culinary--_gb_1.mp3|of or for cooking.
necromancer|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/necromancer_us_1.mp3|a person who practices necromancy; a wizard or magician.
duress|Middle English (in the sense ‘harshness, severity, cruel treatment’): via Old French from Latin duritia, from durus ‘hard’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/duress--_gb_1.8.mp3|threats, violence, constraints, or other action used to coerce someone into doing something against their will or better judgement.
oviparous|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/oviparous_us_1.mp3|(of a bird, etc.) producing young by means of eggs that are hatched after they have been laid by the parent.
leonine|late Middle English: from Old French, or from Latin leoninus, from leo, leon- ‘lion’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/leonine--_gb_1.mp3|of or resembling a lion or lions.
lefse|Unknown|noun|/home/pi/lefse.mp3|a large thin potato pancake served buttered and folded
farcical|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/farcical_us_1.mp3|relating to or resembling farce, especially because of absurd or ridiculous aspects
onychitis|Unknown|noun|/home/pi/onychitis.mp3|condition of áinflammation of the matrix of the nail leading to suppuration and loss of the nail or onychia
funori|Unknown|noun|/home/pi/funori.mp3|any of several succulent marine algae especially of the genusáGloiopeltisáthat furnish a tough glue
combustible|early 16th century: from Old French, from late Latin combustibilis, from Latin combust- ‘burnt up’, from the verb comburere .|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/combustible--_gb_2.mp3|able to catch fire and burn easily.
hauteur|French, from haut ‘high’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/hauteur--_gb_1.8.mp3|proud haughtiness of manner.
emphysema|mid 17th century (in emphysema (sense 2)): via late Latin from Greek emphusēma, from emphusan ‘puff up’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/emphysema--_gb_1.mp3|a condition in which the air sacs of the lungs are damaged and enlarged, causing breathlessness.;a condition in which air is abnormally present within the body tissues.
aristoi|Unknown|noun|/home/pi/aristoi.mp3|aristocrats
Luddite|early 19th century: perhaps named after Ned Lud, a participant in the destruction of machinery, + -ite1.|noun;adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/luddite--_gb_2.mp3|a person opposed to new technology or ways of working.;a member of any of the bands of English workers who destroyed machinery, especially in cotton and woollen mills, that they believed was threatening their jobs (1811–16).
nudibranch|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/nudibranch_us_1.mp3|a shell-less marine mollusk of the order Nudibranchia; a sea slug.
Holocaust|Middle English: from Old French holocauste, via late Latin from Greek holokauston, from holos ‘whole’ + kaustos ‘burnt’ (from kaiein ‘burn’).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/holocaust--_gb_1.mp3|destruction or slaughter on a mass scale, especially caused by fire or nuclear war.;a Jewish sacrificial offering that was burned completely on an altar.
huipil|Unknown|noun|/home/pi/huipil.mp3|"a straight slipover one-piece garment that is made by folding a rectangle of material end to end, sewing up the straight sides but leaving openings near the folded top for the arms, and cutting a slit or a square in the center of the fold to furnish an opening for the head, is often decorated with embroidery, and is worn as a blouse or dress by women chiefly in Mexico and Central America"
volucrine|Unknown|adjective|/home/pi/volucrine.mp3|of or relating to bird
clematis|Latin (also denoting the periwinkle), from Greek klēmatis, from klēma ‘vine branch’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/clematis--_gb_1.mp3|a climbing plant of the buttercup family which bears white, pink, or purple flowers and feathery seeds. Several kinds are cultivated as ornamentals.
cartilage|late Middle English: from French, from Latin cartilago, cartilagin- .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/cartilage--_gb_1.mp3|firm, flexible connective tissue found in various forms in the larynx and respiratory tract, in structures such as the external ear, and in the articulating surfaces of joints. It is more widespread in the infant skeleton, being replaced by bone during growth.
bipolar|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/bipolar_us_1.mp3|(of a nerve cell) having two axons, one either side of the cell body.;(of a transistor or other device) using both positive and negative charge carriers.;(of psychiatric illness) characterized by both manic and depressive episodes, or manic ones only.;having or relating to two poles or extremities
grateful|mid 16th century: from obsolete grate ‘pleasing, thankful’ (from Latin gratus ) + -ful.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/grateful--_gb_2.mp3|feeling or showing an appreciation for something done or received.
cornea|late Middle English: from medieval Latin cornea tela ‘horny tissue’, from Latin cornu ‘horn’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/cornea--_gb_1.8.mp3|the transparent layer forming the front of the eye.
simmer|mid 17th century: alteration of dialect simper (in the same sense), perhaps imitative.|verb;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/simmer--_gb_1.mp3|(of water or food that is being heated) stay just below boiling point while bubbling gently.
cashier|late 16th century: from Dutch cassier or French caissier, from caisse ‘cash’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/cashier--_gb_1.mp3|a person handling payments and receipts in a shop, bank, or business.
becquerel|late 19th century: named after A.-H. Becquerel (see Becquerel, Antoine-Henri).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/becquerel--_gb_1.mp3|the SI unit of radioactivity, corresponding to one disintegration per second.
aestival|late Middle English: from Latin aestivalis, from aestivus, from aestus ‘heat’.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/aestival--_gb_1.mp3|belonging to or appearing in summer.
bolide|early 19th century: from French, from Latin bolis, bolid-, from Greek bolis ‘missile’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/bolide--_gb_1.mp3|a large meteor which explodes in the atmosphere.
mignonette|early 18th century: from French mignonnette, diminutive of mignon ‘small and sweet’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/mignonette--_gb_1.8.mp3|a herbaceous plant with spikes of small fragrant greenish flowers.
weather|Old English weder, of Germanic origin; related to Dutch weer and German Wetter, probably also to the noun wind1.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/weather--_gb_1.mp3|the state of the atmosphere at a particular place and time as regards heat, cloudiness, dryness, sunshine, wind, rain, etc.
endorphin|1970s: blend of endogenous and morphine.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/endorphin--_gb_1.mp3|any of a group of hormones secreted within the brain and nervous system and having a number of physiological functions. They are peptides which activate the body's opiate receptors, causing an analgesic effect.
degauss|1940s (in degauss (sense 3)): from de- + gauss.|verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/degauss--_gb_1.mp3|remove unwanted magnetism from (a television or monitor) in order to correct colour disturbance.;destroy the data on (a data storage device) by removing its magnetism.;neutralize the magnetic field of (a ship) by encircling it with a conductor carrying electric currents.
osteopath|Etymology Unknown|noun|/home/pi/osteopath.mp3|a practitioner of osteopathy
squall|mid 17th century: probably an alteration of squeal, influenced by bawl.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/squall--_gb_1.mp3|a sudden violent gust of wind or localized storm, especially one bringing rain, snow, or sleet.;a loud cry.
vlogging|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/vlogging_us_1.mp3|the activity or practice of posting short videos to or maintaining a vlog
heroic|late Middle English: from Old French heroique or Latin heroicus, from Greek hērōikos ‘relating to heroes’, from hērōs ‘hero’.|adjective;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/heroic--_gb_1.8.mp3|having the characteristics of a hero or heroine; admirably brave or determined.;(of language or a work of art) grand or grandiose in scale or intention.
shebang|mid 19th century: of unknown origin.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/shebang--_gb_1.mp3|a matter, operation, or set of circumstances.;a rough hut or shelter.
trunk|late Middle English: from Old French tronc, from Latin truncus .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/trunk--_gb_1.mp3|the main woody stem of a tree as distinct from its branches and roots.;a person's or animal's body apart from the limbs and head.;the elongated, prehensile nose of an elephant.;a large box with a hinged lid for storing or transporting clothes and other articles.
doubloons|early 17th century: from French doublon or its source, Spanish doblón, from doble ‘double’ (so named because the coin was worth double the value of a pistole).|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/doubloon--_gb_1.mp3|a Spanish gold coin.
zortzico|Unknown|noun|/home/pi/zortzico.mp3|a Basque song or dance in ?/? time and dotted rhythm
scrounge|early 20th century: variant of dialect scrunge  ‘steal’.|verb;noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/scrounge--_gb_1.mp3|seek to obtain (something, typically food or money) at the expense or through the generosity of others or by stealth.
mellifluous|late 15th century: from late Latin mellifluus (from mel ‘honey’ + fluere ‘to flow’) + -ous.|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/mellifluous--_gb_1.8.mp3|(of a sound) pleasingly smooth and musical to hear.
quizzical|Etymology Unknown|adjective|https://audio.oxforddictionaries.com/en/mp3/quizzical_us_1.mp3|(of a person's expression or behavior) indicating mild or amused puzzlement
desertification|Etymology Unknown|noun|https://audio.oxforddictionaries.com/en/mp3/desertification_us_1.mp3|the process by which fertile land becomes desert, typically as a result of drought, deforestation, or inappropriate agriculture
Muzak|1930s: alteration of music.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/muzak--_gb_2.mp3|recorded light background music played through speakers in public places.
schnitzel|from German Schnitzel, literally ‘slice’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/schnitzel--_gb_1.8.mp3|a thin slice of veal or other light meat, coated in breadcrumbs and fried.
salmagundy|Unknown|noun|/home/pi/salmagundy.mp3|"a salad plate consisting of chopped or sliced meats, anchovies, hard-cooked eggs, pickled vegetables, olives, radishes, endive, and watercress that are arranged in rows for color and flavor contrast and dressed with a salad dressing; a heterogeneous mixture : medley, potpourri"
contemptuous|mid 16th century (in the sense ‘despising law and order’): from medieval Latin contemptuosus, from Latin contemptus ‘contempt’, from contemnere (see contemn).|adjective|//ssl.gstatic.com/dictionary/static/sounds/20200429/xcontemptuous--_gb_1.mp3|showing contempt; scornful.
sluggard|Middle English: from the rare verb slug  ‘be lazy or slow’ + -ard.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/sluggard--_gb_1.mp3|a lazy, sluggish person.
bienvenu|Unknown|noun|/home/pi/bienvenu.mp3|áwelcomeáŚformerly common in English but now usually a conscious borrowing from the French; obsolete : an entry fee demanded from a new worker by fellow workers
mater|Latin.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/mater--_gb_1.8.mp3|mother.
water|Old English wæter (noun), wæterian (verb), of Germanic origin; related to Dutch water, German Wasser, from an Indo-European root shared by Russian voda (compare with vodka), also by Latin unda ‘wave’ and Greek hudōr ‘water’.|noun;verb|//ssl.gstatic.com/dictionary/static/sounds/20200429/water--_gb_3.mp3|a colourless, transparent, odourless liquid that forms the seas, lakes, rivers, and rain and is the basis of the fluids of living organisms.;a stretch or area of water, such as a river, sea, or lake.;urine.;the amniotic fluid surrounding a fetus in the womb, especially as discharged in a flow shortly before birth.;the quality of transparency and brilliance shown by a diamond or other gem.;capital stock that represents a book value greater than the true assets of a company.
janthina|Unknown|noun|/home/pi/janthina.mp3|"capitalizedá:áthe type genus of Janthinidae comprising pelagic snails of warm seas that have a thin spiral purple shell, a large head, and protrusible gills"
inquietude|late Middle English (in the sense ‘disturbance of one's quietness or rest’): from Old French, or from late Latin inquietudo, from Latin inquietus, from in- ‘not’ + quietus ‘quiet’.|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/inquietude--_gb_1.mp3|physical or mental restlessness or disturbance.
glacis|late 17th century: from French, from Old French glacier ‘to slip’, from glace ‘ice’, based on Latin glacies .|noun|//ssl.gstatic.com/dictionary/static/sounds/20200429/glacis--_gb_1.8.mp3|a bank sloping down from a fort which exposes attackers to the defenders' missiles.;a sloping piece of armour plate protecting part of a vehicle.
